Kategori Penerimaan,Keyword
Sumbangan Am,"infaq', 'wakaf' , 'karpet', 'Aircond', 'mimbar'"
Sumbangan Khas (Amanah),
Hasil Sewaan/Penjanaan Ekonomi,"kopiah', 'TNB FIAH', 'Cawan'"
Tahlil,"Tahlil', "
Hibah Pelaburan ,
Deposit,
Hibah Bank,
Lain-Lain Terimaan,korban'
,
Kategori Pembayaran ,
Pentadbiran,"elaun, shati bilal,  shati imam"
Pengurusan Sumber Manusia,"Cleaner, Sekuriti, Siak, bhs arab, tahsin"
Pembangunan dan Penyelengaraan ,"baiki, servis, "
Dakwah Dan Pengimarahan,"Kul Subuh', 'Maghrib', 'Jumaat', 'Jamuan'"
Khidmat Sosial dan Kemasyarakatan,Program 
Pembelian Aset ,"Aircond, Mihrab, Karpet, kerusi, meja"
Pembelanjaan Khas (Amanah),"Aircond, Mihrab, Karpet"
Pelbagai,"Korban, lembu, "
